"HUMAN_CONDITION","ROAD_CLASS","HIT_AND_RUN","TRAIN","PEDESTRIAN","INTERSECTION","MANNER_OF_COLLISION","ROADWAY_SURFACE","ROADWAY_DESIGN","ALIGNMENT","PRIMARY_FACTOR","SECONDARY_FACTOR","WEATHER","LOCATION_TYPE","ROADWAY_RELATION","ACCESS_CONTROL","LIGHTING"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","LEFT TURN","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","FALSE","FALSE","FALSE","FALSE","RIGHT ANGLE","WET","OTHER","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","RAIN","BUSINESS CONTINUOUS","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","U.S. HWY","FALSE","FALSE","FALSE","FALSE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","REAR END","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"INJURY","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","WET","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","MOVEMENT PRIOR TO CRASH","MOVEMENT PRIOR TO CRASH","RAIN","OTHER","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","TRUE","FALSE","FALSE","TRUE","SIDESWIPE SAME","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","RAIN","OTHER","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"INJURY","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","WET","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","ROADWAY CONDITION","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"INJURY","PARISH ROAD","FALSE","FALSE","FALSE","FALSE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","VEHICLE CONDITIONS","RAIN","BUSINESS, MIXED RESIDENTIAL","BEYOND SHOULDER - RIGHT","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - STREET LIGHT AT INTERSECTION ONLY"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","REAR END","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - STREET LIGHT AT INTERSECTION ONLY"
"FATALITY","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - CONTINUOUS STREET LIGHT"
"NONE","PARISH ROAD","FALSE","FALSE","FALSE","TRUE","REAR END","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","BEYOND SHOULDER - RIGHT","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - STREET LIGHT AT INTERSECTION ONLY"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - CONTINUOUS STREET LIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","WET","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","MOVEMENT PRIOR TO CRASH","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","U.S. HWY","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","OTHER","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","WEATHER","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - STREET LIGHT AT INTERSECTION ONLY"
"INJURY","STATE HWY","FALSE","FALSE","FALSE","TRUE","LEFT TURN","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","CONDITION OF DRIVER","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","WEATHER","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","WET","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","MOVEMENT PRIOR TO CRASH","VIOLATIONS","RAIN","MANUFACTURING OR INDUSTRIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - NO STREET LIGHTS"
"NONE","U.S. HWY","FALSE","FALSE","FALSE","FALSE","","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - STREET LIGHT AT INTERSECTION ONLY"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","WET","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","VIOLATIONS","ROADWAY CONDITION","CLOUDY","OTHER","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"INJURY","CITY STREET","FALSE","FALSE","FALSE","TRUE","OTHER","WET","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","WET","ONE-WAY ROAD","ON GRADE-CURVE","ROADWAY CONDITION","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAWN"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","RAIN","RESIDENTIAL DISTRICT","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - NO STREET LIGHTS"
"INJURY","INTERSTATE","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","WET","ONE-WAY ROAD","CURVE-LEVEL","VEHICLE CONDITIONS","MOVEMENT PRIOR TO CRASH","RAIN","OTHER","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DAYLIGHT"
"NONE","U.S. HWY","TRUE","FALSE","FALSE","TRUE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","ROADWAY CONDITION","VIOLATIONS","RAIN","MANUFACTURING OR INDUSTRIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","TRUE","SIDESWIPE SAME","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","BUSINESS, MIXED RESIDENTIAL","UNKNOWN","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","TRUE","FALSE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","WET","ONE-WAY ROAD","CURVE-LEVEL","ROADWAY CONDITION","MOVEMENT PRIOR TO CRASH","RAIN","OTHER","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","SIDESWIPE SAME","DRY","OTHER","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLOUDY","OTHER","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","SIDESWIPE SAME","WET","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","OPEN COUNTRY","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","U.S. HWY","FALSE","FALSE","FALSE","TRUE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLOUDY","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"INJURY","PARISH ROAD","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","OTHER","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","CLOUDY","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"INJURY","U.S. HWY","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","CLOUDY","BUSINESS, MIXED RESIDENTIAL","BEYOND SHOULDER - RIGHT","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","RIGHT ANGLE","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","BEYOND RIGHT OF WAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","FALSE","FALSE","FALSE","FALSE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","OTHER","WET","UNKNOWN","STRAIGHT-LEVEL","VIOLATIONS","","CLOUDY","BUSINESS CONTINUOUS","UNKNOWN","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - CONTINUOUS STREET LIGHT"
"INJURY","STATE HWY","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - STREET LIGHT AT INTERSECTION ONLY"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","FALSE","REAR END","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","SIDESWIPE OPPOSITE","WET","ONE-WAY ROAD","CURVE-LEVEL","VIOLATIONS","","RAIN","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","RAIN","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","FALSE","FALSE","FALSE","FALSE","OTHER","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLOUDY","BUSINESS, MIXED RESIDENTIAL","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","FALSE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","LEFT TURN","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","WET","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","MOVEMENT PRIOR TO CRASH","CLOUDY","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","CONDITION OF DRIVER","VIOLATIONS","CLEAR","RESIDENTIAL DISTRICT","MEDIAN","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","ROADWAY CONDITION","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","ROADWAY CONDITION","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"INJURY","INTERSTATE","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"INJURY","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLOUDY","OPEN COUNTRY","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","OTHER","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","CLEAR","OTHER","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","FALSE","OTHER","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
